sku_id,category_id,period,qty_total
598294111,672241,2024-11-25,0.8142248606740865
598294111,672241,2024-12-02,0.8143011782932116
598294111,672241,2024-12-09,0.814269398725939
598294111,672241,2024-12-16,0.3143249396428762
598294111,672241,2024-12-23,0.814282061073257
598294111,672241,2024-12-30,1.3141758358700153
598294111,672241,2025-01-06,0.8141258940454329
598294111,672241,2025-01-13,2.3141627663622284
598294111,672241,2025-01-20,3.314084214085213
598294111,672241,2025-01-27,2.3140618271228948
598294111,672241,2025-02-03,1.8140844268461755
598294111,672241,2025-02-10,0.8140359495412814
598294111,672241,2025-02-17,0.8140334249544007
598294111,672241,2025-02-24,0.814181848116853
598294111,672241,2025-03-03,0.8143569984867334
598302302,672241,2024-11-25,0.05769349663647436
598302302,672241,2024-12-02,0.057693465270258835
598302302,672241,2024-12-09,0.05769341208684674
598302302,672241,2024-12-16,0.05769332768002224
598302302,672241,2024-12-23,0.5576899040052343
598302302,672241,2024-12-30,0.05769262210911105
598302302,672241,2025-01-06,1.057692015485674
598302302,672241,2025-01-13,0.05769139167950646
598302302,672241,2025-01-20,0.05769072902536111
598302302,672241,2025-01-27,0.05769002724073083
598302302,672241,2025-02-03,0.05768929080872996
598302302,672241,2025-02-10,1.0576951291555907
598302302,672241,2025-02-17,0.05768858165424753
598302302,672241,2025-02-24,0.057688565864827
598302302,672241,2025-03-03,0.0576885463682123
599653937,672241,2024-11-25,10.457276874757484
599653937,672241,2024-12-02,1.535638967963937
599653937,672241,2024-12-09,1.613580011301344
599653937,672241,2024-12-16,1.1903360097330746
599653937,672241,2024-12-23,1.2660988774880981
599653937,672241,2024-12-30,1.3408502295482945
599653937,672241,2025-01-06,2.4144497544574506
599653937,672241,2025-01-13,2.4872136333672605
599653937,672241,2025-01-20,2.0588856005170117
599653937,672241,2025-01-27,6.629959574734398
599653937,672241,2025-02-03,1.6990089603831826
599653937,672241,2025-02-10,3.2674968876748696
599653937,672241,2025-02-17,2.3351136226297475
599653937,672241,2025-02-24,2.9015596357683746
599653937,672241,2025-03-03,2.967139271017
599703217,672241,2024-11-25,4.369456793245934
599703217,672241,2024-12-02,6.368869925385799
599703217,672241,2024-12-09,3.8680196625229724
599703217,672241,2024-12-16,2.867505897474163
599703217,672241,2024-12-23,1.8667777077225964
599703217,672241,2024-12-30,5.366094431172767
599703217,672241,2025-01-06,2.365704001915798
599703217,672241,2025-01-13,5.365003206598804
599703217,672241,2025-01-20,2.3647549075253824
599703217,672241,2025-01-27,2.3643691384141095
599703217,672241,2025-02-03,1.8639801881946108
599703217,672241,2025-02-10,1.3636999001929042
599703217,672241,2025-02-17,2.863632792120537
599703217,672241,2025-02-24,0.8634819738675894
599703217,672241,2025-03-03,4.363575187596432
746436995,672241,2024-11-25,0.3585275356620914
746436995,672241,2024-12-02,-0.11944307958703337
746436995,672241,2024-12-09,-0.09769295444828019
746436995,672241,2024-12-16,-0.07622219825537324
746436995,672241,2024-12-23,-0.05502864202207153
746436995,672241,2024-12-30,1.4658967551586821
746436995,672241,2025-01-06,0.9865319674739538
746436995,672241,2025-01-13,0.006888300639808997
746436995,672241,2025-01-20,0.5269814242670683
746436995,672241,2025-01-27,0.04679879630379663
746436995,672241,2025-02-03,0.06635052089030752
746436995,672241,2025-02-10,0.0856354108897252
746436995,672241,2025-02-17,0.604656385159709
746436995,672241,2025-02-24,0.6234067096104519
746436995,672241,2025-03-03,0.14188695116522348
2709580011,672241,2024-11-25,1.2714104688931318
2709580011,672241,2024-12-02,1.2714697986436214
2709580011,672241,2024-12-09,1.271552768935189
2709580011,672241,2024-12-16,1.2716419092797748
2709580011,672241,2024-12-23,1.2717188355611564
2709580011,672241,2024-12-30,1.2717761826872227
2709580011,672241,2025-01-06,1.2718108723971437
2709580011,672241,2025-01-13,1.271817579047568
2709580011,672241,2025-01-20,1.2717979354998759
2709580011,672241,2025-01-27,1.2717602394034693
2709580011,672241,2025-02-03,1.771759763555829
2709580011,672241,2025-02-10,1.2716540319328755
2709580011,672241,2025-02-17,1.7716168968566475
2709580011,672241,2025-02-24,1.7715378391227914
2709580011,672241,2025-03-03,2.7713504334449564
2709580215,672241,2024-11-25,2.0671491500941612
2709580215,672241,2024-12-02,1.0671569738534687
2709580215,672241,2024-12-09,1.5671212828256338
2709580215,672241,2024-12-16,1.5671472506068358
2709580215,672241,2024-12-23,1.0671343031786968
2709580215,672241,2024-12-30,1.5671671812437813
2709580215,672241,2025-01-06,1.0671753817128853
2709580215,672241,2025-01-13,1.0672052522796855
2709580215,672241,2025-01-20,1.06723636115309
2709580215,672241,2025-01-27,1.0672681122839438
2709580215,672241,2025-02-03,1.06729865480696
2709580215,672241,2025-02-10,1.0673219446525026
2709580215,672241,2025-02-17,1.0673402772418479
2709580215,672241,2025-02-24,1.067356212383046
2709580215,672241,2025-03-03,1.5673840880200385
2787887686,672241,2024-11-25,1.6743122127876884
2787887686,672241,2024-12-02,4.6744757027280475
2787887686,672241,2024-12-09,-3.326108898116165
2787887686,672241,2024-12-16,-2.8262732604013783
2787887686,672241,2024-12-23,-3.326240518625366
2787887686,672241,2024-12-30,-3.326391477050189
2787887686,672241,2025-01-06,-3.3265141129543805
2787887686,672241,2025-01-13,-3.3265579428230887
2787887686,672241,2025-01-20,-3.3265444256031564
2787887686,672241,2025-01-27,-3.3265078105576045
2787887686,672241,2025-02-03,-3.326524256168364
2787887686,672241,2025-02-10,-2.8265577462954177
2787887686,672241,2025-02-17,-3.3265292147421235
2787887686,672241,2025-02-24,-0.8266148835737256
